Slug	EN	DE	PL	RU	NL	FR	CZ	UA	HR	GR	PT	TR	BG	HU	ES	IT	SR	RO
expired	Expired	Abgelaufen	Ważność wygasła	Срок действия истек	Verlopen	Expiré	Platnost skončila	Термін дії минув	Isteklo	Έληξε	Expirado	Süre doldu	Изтекъл	Lejárt	Caducado	Scaduto	Истекао	Expirat
pending	Waiting for confirmation	Warte auf Bestätigung	Czekaj na potwierdzenie	Ожидание подтверждения	Wachten op bevestiging	Confirmation en attente	Čeká se na potvrzení	Очікується підтвердження	Čekanje na potvrdu	Αναμονή για επιβεβαίωση	A aguardar confirmação	Onay bekleniyor	Очаква потвърждение	Várakozás a megerősítésre	Esperando confirmación	In attesa di conferma	Чека се потврда	Așteptând confirmarea
expires_in_days	Expires in %s days	Läuft in XX Tagen ab	Ważność upływa za XX dni	Срок действия истекает через XX д.	Verloopt over XX dagen	Expire dans %s jours	Platnost skončí za %s dny/dnů	Термін діє спливає через %s дн.	Istječe za %s dana	Λήγει σε %s ημέρες	Expira em %s dias	Süre %s gün içinde doluyor	Изтича след %s дни	Lejár %s napon belül	Caduca en %s días.	Scade tra %s giorni	Истиче за %s дана	Expiră în %zile
certificate	Certificate	Zertifikat	Certyfikat	Сертификат	Certificaat	Certificat	Certifikát	Сертифікат	Certifikat	Πιστοποιητικό	Certificado	Sertifika	Сертификат	Bizonyítvány	Certificado	Certificato	Сертификат	Certificat
certificates	Certificates	Zertifikate	Certyfikaty	Сертификаты	Certificaten	Certificats	Certifikáty	Сертифікати	Certifikati	Πιστοποιητικά	Certificados	Sertifikalar	Сертификати	Bizonyítványok	Certificados	Certificati	Сертификати	Certificate
require_biometrics	Requires biometrics authentication	Biometrische Authentifizierung notwendig	Konieczne jest uwierzytelnienie biometryczne	Требуется биометрическая аутентификация	Biometrische authenticatie noodzakelijk	Nécessite une authentification biométrique	Vyžaduje ověření pomocí biometrie	Потрібна біометрична аутентифікація	Potrebna je biometrijska autentifikacija	Απαιτεί έλεγχο ταυτότητας με βιομετρικά δεδομένων	Requer autenticação biométrica	Biyometrik doğrulama gerekiyor	Изисква биометрично удостоверяване	Biometrikus hitelesítés szükséges	Requiere autenticación biométrica	Richiede l’autenticazione dei dati biometrici	Захтева биометријску проверу аутентичности	Necesită autentificarea biometriei
wait_for_scan	Please wait for scan by the destination	Bitte warten auf Scan durch den Standort	Czekaj na skanowanie przez lokalizację	Пожалуйста, дождитесь сканирования по месту	Even wachten op de scan door de locatie	Attendez le scan par la destination	Počkejte prosím na načtení místem určení	Зачекайте сканування у пункті призначення	Pričekajte skeniranje putem odredišta	Περιμένετε για σάρωση από τον προορισμό	Aguarde pela leitura no destino	Hedef tarafından tarama bekleyin	Изчакайте сканиране от дестинацията	Kérjük, várjon a célállomás általi beolvasásra	Espere a que el destino lo escanee.	Attendi la scansione dalla destinazione	Молимо сачекајте скенирање према одредишту	Vă rugăm să așteptați scanarea la destinație
certificate_qr_message	When the information has been processed, you will receive a notification	Nach Verarbeitung der Daten erhalten Sie eine Benachrichtigung	Po przetworzeniu danych otrzymasz powiadomienie	После обработки данных вы получите уведомление	Na verwerking van de gegevens ontvangt u een bericht	Vous recevrez une notification une fois les informations traitées	Až budou informace zpracovány, dostanete oznámení	Ви отримаєте сповіщення, коли інформація буде оброблена	Nakon što se informacije obrade, primit ćete obavijest	Αφού οι πληροφορίες υποβληθούν σε επεξεργασία, θα λάβετε μια ειδοποίηση	Receberá uma notificação quando a informação tiver sido processada	Bilgiler işleme alındığında bildirim alacaksınız	Когато информацията бъде обработена, ще получите известие.	Kapni fog egy értesítést, ha az adatok feldolgozásra kerültek	Cuando se haya procesado la información, recibirá una notificación.	Quando le informazioni saranno state elaborate, riceverai una notifica	Када информације буду обрађене, добићете обавештење	Când informațiile au fost procesate, veți primi o notificare
destination_sent_information	%s has sent you a certificate	XX hat Ihnen einen Zertifikat zugeschickt	XX wysłała Ci certyfikat	Вам пришел сертификат от места дислокации XX	XX heeft u een certificaat gestuurd	%s vous a envoyé un certificat	%s vám poslal/a certifikát	Ви отримали сертифікат від %s	%s šalje vam certifikat	Ο/Η %s σας έστειλε ένα πιστοποιητικό	%s enviou-lhe um certificado	%s size bir sertifika gönderdi	%s ви изпрати сертификат	%s bizonyítványt küldött Önnek	%s le ha enviado un certificado.	%s ti ha inviato un certificato	%s вам је послао сертификат	%s v -a trimis un certificat
open	Open	Öffnen	Otwórz	Открыть	Openen	Ouvrir	Otevřít	Відкрити	Otvori	Άνοιγμα	Abrir	Aç	Отвори	Megnyitás	Abrir	Apri	Отвори	Deschis
draft_message	%s has sent you a draft registration	XX hat Ihnen einen Registrierungsentwurf zugeschickt	XX wysłała Ci projekt rejestracji	Вам пришел эскиз регистрации от места дислокации XX	XX heeft u een registratie-ontwerp gestuurd	%s vous a envoyé une ébauche d'inscription	%s vám poslal/a návrh registrace	Ви отримали проект реєстрації від %s	%s šalje vam nacrt registracije	Ο/Η %s σας έστειλε μια πρόχειρη εγγραφή	%s enviou-lhe uma proposta de inscrição	%s size bir taslak kayıt gönderdi	%s ви изпрати проект на регистрация	%s regisztrációtervezetet küldött Önnek	%s le ha enviado un borrador de registro.	%s ti ha inviato la bozza di una registrazione	%s вам је послао нацрт регистрације	%s v -a trimis un proiect de înregistrare
draft_details	Draft registration	Registrierungsentwurf	Projekt rejestracji	Эскиз регистрации	Registratie-ontwerp	Ébauche d'inscription	Návrh registrace	Проект реєстрації	Nacrt registracije	Πρόχειρη εγγραφή	Proposta de inscrição	Taslak kayıt	Проект на регистрация	Regisztrációtervezet	Borrador de registro	Bozza della registrazione	Нацрт регистрације	Proiect de înregistrare
